"TARGET_AMT","KIDSDRIV","MALE","MARRIED","SINGLE_PARENT","LICENSE_REVOKED","AGE","INEXP_DRIVER","HOMEKIDS","YOJ","INCOME","HOME_VAL","TRAVTIME","BLUEBOOK","TIF","OLDCLAIM","CLM_FREQ","MVR_PTS","CAR_AGE","MAIN_DRIVING_CITY","RED_CAR","EDU_HIGH_SCHOOL","VEHICLE_CLASS_TRUCK","VEHICLE_CLASS_SUV","VEHICLE_CLASS_CAR","SPORTS_CAR","RED_SPORTS_CAR","TRUCK_COMM","SUV_COMM","CAR_COMM","OCCUPATION_CLERICAL","OCCUPATION_MANAGER","OCCUPATION_BLUE_COLLAR","OCCUPATION_GOLD_COLLAR","OCCUPATION_STUDENT","OCCUPATION_HOME_MAKER","OCCUPATION_PROFESSIONAL"
7.98820359702258,0,0,0,1,0,34,0,1,12,125301,0,46,17430,1,0,0,0,7,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
8.29928590689727,1,1,1,0,1,37,0,2,14,107961,333680,44,16970,1,2374,1,10,7,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
7.82444593087762,0,0,0,0,0,34,0,0,10,62978,0,34,11200,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8.71226643213535,0,0,0,0,0,53,0,0,14,77100,0,15,18300,1,0,0,0,11,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
7.14440718032114,0,1,0,0,0,53,0,0,11,130795,0,64,28340,6,0,0,3,10,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7.97939619499053,0,0,1,0,0,45,0,0,0,0,106859,48,6000,1,0,0,3,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
8.83302530728436,0,0,1,0,0,28,0,1,13,44077,170598,29,8710,6,8935,2,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
8.1961611392829,0,1,1,0,0,43,0,0,13,37214,229578,52,26560,1,0,0,3,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
8.40871671508015,0,0,1,0,0,32,0,1,9,31275,118160,26,10030,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8.7160440501614,0,1,0,0,1,40,0,0,11,16989,0,20,12230,4,26104,1,13,6,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
9.0871194793729,0,0,1,0,0,44,0,2,15,16352,134164,37,10520,1,7838,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
7.65775527113487,1,0,1,0,1,45,0,1,14,63952,196368,50,32340,6,27877,2,0,13,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8.16961956172385,1,1,0,1,0,44,0,2,12,24060,0,24,14220,4,0,0,0,10,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6.76388490856244,0,0,1,0,0,33,0,4,12,20822,76022,46,6880,13,7896,3,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
8.9600825281704,0,0,0,0,1,34,0,0,8,14194,87034,13,2920,4,24767,3,2,10,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
8.33038156934942,2,0,0,1,0,43,0,3,11,137103,0,29,19510,1,8890,3,0,15,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
7.77106708606541,1,1,0,1,0,45,0,2,11,102393,0,25,1500,1,0,0,2,11,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8.47720418319987,1,0,1,0,0,37,0,2,12,42680,205211,43,5200,1,2718,1,1,3,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
7.21081845347222,0,1,1,0,0,48,0,0,12,31773,165090,14,9640,13,1212,1,4,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
7.79358680337158,0,0,1,0,0,53,0,0,6,38036,153381,32,13140,1,0,0,4,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
8.65014941866486,0,0,1,0,0,34,0,3,0,0,66358,25,11740,9,1800,2,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
9.48077411552132,0,1,1,0,0,41,0,0,10,66265,159276,59,12230,4,0,0,1,9,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
8.3091845276863,0,1,0,0,0,46,0,0,7,101636,0,17,23350,13,4678,3,6,17,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8.96673897875958,0,1,0,1,0,33,0,4,0,0,0,14,15090,1,1631,1,2,5,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
8.20521842639541,0,0,1,0,0,37,0,0,0,0,73890,48,12850,7,0,0,3,6,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
8.54188580400661,0,0,1,0,0,47,0,0,11,44705,217885,50,12840,1,1533,2,0,10,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7.66996199547358,0,1,1,0,0,52,0,0,7,64014,244863,33,7900,4,8882,3,1,5,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
7.65633716643018,0,0,0,1,0,41,0,1,8,126468,0,34,32690,3,0,0,2,18,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
9.06773940337716,1,0,1,0,0,38,0,1,12,37580,173495,36,5260,7,867,2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8.74623928838306,0,1,1,0,0,41,0,2,15,23344,147172,10,7930,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7.49942329059223,1,0,0,1,1,43,0,2,11,76159,0,52,19750,4,0,0,0,7,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9.26803804461774,0,1,0,0,0,42,0,0,0,0,0,47,5700,11,0,0,5,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
8.72550732848445,0,0,0,1,0,43,0,2,15,49849,0,35,13130,1,3622,3,4,20,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
